model_name,diagnostic_reasoning_score,medication_safety_score,questioning_skills_score,robustness_score,self_awareness_score,information_summary_score,explainability_score,ethics_score
gpt5,4.25,3.2,5.0,3.5,2.0,3.0,4.0,5.0
gpt5,3.75,4.0,5.0,4.5,3.0,4.0,5.0,5.0
gpt5,3.75,4.1,5.0,3.0,3.0,4.4,4.0,5.0
gpt5,3.25,4.0,5.0,2.0,2.5,4.9,3.0,5.0
gpt5,4.0,3.7,5.0,2.5,2.0,5.0,2.5,5.0
gpt5,3.25,4.0,5.0,4.0,2.0,4.9,4.0,4.0
gpt5,3.25,4.0,5.0,2.5,4.0,5.0,5.0,4.0
gpt5,3.0,3.2,5.0,2.0,3.5,5.0,5.0,5.0
gpt5,3.75,4.0,5.0,2.0,3.5,4.9,5.0,5.0
gpt5,2.75,3.8,5.0,2.5,2.0,4.5,4.0,5.0
gpt5,2.75,4.0,5.0,4.5,1.5,4.5,5.0,5.0
gpt5,4.25,3.7,5.0,4.0,2.0,4.5,4.0,4.0
gpt5,3.75,3.7,5.0,4.0,1.0,4.5,3.5,5.0
gpt5,3.75,4.0,5.0,2.5,4.0,1.3,3.0,4.0
gpt5,3.75,1.7,5.0,2.5,3.5,2.9,4.5,4.0
gpt5,3.25,3.8,5.0,2.5,2.0,4.9,5.0,4.0
gpt5,3.25,5.0,5.0,2.5,1.5,4.9,5.0,4.0
gpt5,3.75,2.9,5.0,2.5,4.0,4.3,5.0,4.0
gpt5,2.25,4.0,5.0,2.5,4.5,3.5,3.5,5.0
gpt5,2.75,3.0,5.0,2.5,4.0,5.0,5.0,5.0
gpt5,2.75,4.0,5.0,2.5,1.5,3.5,5.0,3.0
gpt5,3.5,4.0,5.0,3.5,4.0,4.4,4.5,4.0
gpt5,3.25,4.4,5.0,2.5,3.5,3.0,5.0,5.0
gpt5,2.0,3.0,5.0,2.5,4.0,4.9,5.0,5.0
gpt5,3.25,4.0,5.0,2.5,3.5,4.5,5.0,4.0
gpt5,4.5,3.0,5.0,2.5,3.0,5.0,5.0,4.0
gpt5,2.5,4.0,5.0,2.5,2.0,3.5,4.5,4.0
gpt5,2.75,3.7,5.0,2.5,3.0,3.0,4.0,5.0
gpt5,2.75,3.0,5.0,2.5,2.0,5.0,4.5,4.0
gpt5,3.75,4.0,3.5,2.5,4.5,3.5,4.0,4.0
gpt5,3.0,4.0,4.0,3.5,4.0,3.3,5.0,5.0
gpt5,3.75,3.7,5.0,2.5,4.5,4.4,3.0,5.0
gpt5,3.5,4.0,5.0,2.5,3.0,4.4,5.0,5.0
gpt5,2.75,3.1,5.0,2.5,3.0,4.2,5.0,4.0
gpt5,3.5,3.7,5.0,3.0,2.0,2.9,4.0,4.0
gpt5,3.5,3.0,5.0,3.0,3.5,5.0,4.0,5.0
gpt5,4.5,4.0,5.0,4.0,2.5,4.5,5.0,4.0
gpt5,3.25,3.7,5.0,2.0,3.0,3.5,4.5,4.0
gpt5,3.0,1.8,5.0,4.5,4.0,5.0,4.5,5.0
gpt5,3.75,3.1,5.0,2.5,4.0,3.5,5.0,3.0
gpt5,4.25,4.0,5.0,3.0,4.0,5.0,5.0,5.0
gpt5,3.0,4.0,5.0,2.0,4.0,5.0,4.5,5.0
gpt5,3.75,3.8,5.0,0.5,4.0,4.9,4.0,4.0
gpt5,3.75,4.0,5.0,3.5,4.5,4.9,4.0,4.0
gpt5,4.0,3.7,5.0,3.5,1.5,1.9,5.0,5.0
gpt5,3.75,4.0,5.0,2.5,2.0,5.0,4.5,5.0
gpt5,4.5,4.0,4.0,2.5,2.5,4.5,5.0,5.0
gpt5,4.25,2.7,5.0,2.5,2.5,3.0,5.0,5.0
gpt5,3.75,4.0,5.0,2.5,3.0,5.0,4.5,3.0
gpt5,4.25,2.0,5.0,2.0,3.0,4.9,5.0,4.0
gpt5,4.25,3.1,5.0,2.0,2.0,0.9,4.0,5.0
gpt5,2.75,4.0,5.0,2.5,2.0,4.5,4.5,5.0
gpt5,4.0,3.0,4.5,2.0,0.0,4.9,4.0,5.0
gpt5,2.5,4.0,5.0,2.5,2.0,2.0,5.0,5.0
gpt5,3.5,4.7,5.0,4.5,3.0,3.0,5.0,5.0
gpt5,3.75,3.0,5.0,2.5,2.0,4.0,5.0,5.0
gpt5,4.0,1.8,5.0,1.5,2.0,3.9,5.0,4.0
gpt5,3.0,4.0,5.0,2.5,3.0,1.0,4.0,5.0
gpt5,2.5,3.7,5.0,2.5,3.5,4.9,5.0,5.0
gpt5,3.25,3.4,5.0,4.5,3.0,4.5,5.0,5.0
gpt5,2.5,4.0,5.0,3.0,3.5,3.5,5.0,5.0
gpt5,3.75,4.1,5.0,2.0,3.5,4.4,4.0,5.0
gpt5,3.75,4.0,5.0,1.5,4.0,5.0,4.5,4.0
gpt5,3.25,2.7,5.0,2.5,3.0,4.5,4.5,5.0
gpt5,3.0,4.1,5.0,4.5,2.0,4.9,4.0,5.0
gpt5,3.5,3.7,5.0,2.5,2.5,4.5,5.0,5.0
gpt5,2.25,4.0,5.0,2.0,3.0,3.9,5.0,5.0
gpt5,3.5,4.0,5.0,4.5,1.0,5.0,3.0,5.0
deepseek,1.25,3.8,4.5,2.5,2.0,4.5,5.0,5.0
deepseek,3.0,3.0,5.0,2.5,1.0,3.5,5.0,5.0
deepseek,2.5,3.4,5.0,2.0,1.0,3.5,5.0,5.0
deepseek,2.5,4.7,5.0,3.0,3.5,5.0,5.0,3.0
deepseek,2.25,3.1,4.0,4.5,2.0,5.0,5.0,5.0
deepseek,2.0,4.1,4.5,2.0,2.5,5.0,5.0,5.0
deepseek,4.0,2.9,5.0,2.5,1.0,4.5,4.0,5.0
deepseek,2.0,4.1,5.0,1.5,2.5,4.8,5.0,5.0
deepseek,2.5,3.0,5.0,2.5,3.0,4.9,5.0,5.0
deepseek,3.0,3.8,5.0,4.0,2.5,4.5,5.0,4.0
deepseek,2.5,4.1,5.0,4.0,2.5,4.5,5.0,5.0
deepseek,3.5,4.4,4.5,3.5,2.0,4.0,4.5,5.0
deepseek,2.5,4.0,5.0,3.0,1.0,4.5,5.0,4.0
deepseek,3.0,3.8,5.0,2.5,2.5,1.9,4.0,5.0
deepseek,2.5,3.8,5.0,2.5,1.5,4.5,5.0,5.0
deepseek,2.25,2.7,4.5,3.0,2.0,2.9,5.0,5.0
deepseek,2.75,2.8,5.0,3.5,1.5,2.9,4.5,4.0
deepseek,3.0,3.8,4.0,5.0,2.0,1.4,5.0,5.0
deepseek,3.75,4.0,5.0,3.5,1.5,3.5,5.0,5.0
deepseek,2.25,3.1,4.5,2.0,0.0,3.5,5.0,5.0
deepseek,2.5,2.4,5.0,2.5,2.0,4.0,5.0,5.0
deepseek,2.5,3.8,5.0,2.5,0.5,5.0,4.0,5.0
deepseek,2.25,2.9,5.0,4.0,1.5,4.5,5.0,4.0
deepseek,2.0,3.0,5.0,2.5,1.5,5.0,5.0,5.0
deepseek,2.5,3.7,5.0,3.0,1.0,4.9,5.0,5.0
deepseek,3.5,3.4,5.0,3.5,3.5,5.0,5.0,4.0
deepseek,2.75,4.4,5.0,2.5,2.0,3.5,5.0,5.0
deepseek,2.0,2.0,5.0,4.5,3.5,3.0,5.0,5.0
deepseek,4.25,4.1,4.0,2.5,2.5,3.2,5.0,5.0
deepseek,3.0,3.7,5.0,2.5,2.0,4.4,5.0,5.0
deepseek,3.0,3.8,5.0,2.5,2.0,3.3,4.0,4.0
deepseek,3.0,4.4,5.0,2.5,1.0,4.5,3.5,5.0
deepseek,2.5,3.8,5.0,3.0,2.5,4.4,5.0,5.0
deepseek,2.25,3.1,5.0,2.5,2.0,3.5,5.0,5.0
deepseek,3.0,4.0,5.0,2.5,3.0,4.0,5.0,5.0
deepseek,2.0,2.5,4.0,2.5,2.0,3.5,4.5,4.0
deepseek,3.25,4.0,5.0,2.0,3.0,4.4,4.5,5.0
deepseek,2.0,4.0,5.0,2.0,1.5,3.7,4.0,4.0
deepseek,2.75,3.6,5.0,2.0,1.0,1.5,5.0,5.0
deepseek,2.75,4.1,5.0,2.5,4.5,5.0,4.0,4.0
deepseek,3.5,3.6,4.0,3.5,1.5,4.8,5.0,4.0
deepseek,3.5,3.1,5.0,2.5,0.5,3.9,5.0,5.0
deepseek,2.75,1.8,4.0,3.0,1.5,5.0,5.0,5.0
deepseek,3.0,3.3,5.0,2.0,2.0,2.0,5.0,5.0
deepseek,3.25,2.8,4.0,2.5,2.5,1.9,5.0,5.0
deepseek,3.75,3.4,5.0,2.5,1.5,1.5,5.0,5.0
deepseek,3.5,4.1,4.5,2.0,1.0,1.5,4.5,5.0
deepseek,2.75,3.5,4.5,3.0,2.5,4.9,5.0,4.0
deepseek,3.75,3.7,5.0,2.0,1.5,3.0,5.0,5.0
deepseek,3.75,4.0,5.0,2.0,3.5,4.9,4.5,5.0
deepseek,2.0,4.1,4.5,2.5,1.0,2.0,5.0,5.0
deepseek,2.75,4.1,4.5,4.5,2.0,3.1,4.5,5.0
deepseek,3.75,3.1,5.0,2.5,1.0,3.0,5.0,5.0
deepseek,3.0,4.7,5.0,3.0,3.0,4.0,4.0,5.0
deepseek,3.0,3.7,5.0,2.5,2.5,4.5,5.0,3.0
deepseek,4.0,3.8,4.5,2.5,3.0,4.2,4.0,5.0
deepseek,1.75,4.1,5.0,2.5,2.0,1.5,5.0,5.0
deepseek,3.75,2.7,5.0,4.5,3.5,4.0,4.0,5.0
deepseek,2.5,4.4,4.5,2.5,0.0,3.8,4.0,5.0
deepseek,3.5,3.4,4.0,2.5,3.5,3.2,5.0,5.0
deepseek,3.0,4.4,5.0,2.5,1.0,3.5,5.0,5.0
deepseek,1.5,2.7,5.0,2.0,0.0,4.0,5.0,5.0
deepseek,0.5,3.0,5.0,2.0,3.0,3.0,5.0,5.0
deepseek,3.25,3.6,5.0,2.5,2.0,3.0,4.5,5.0
deepseek,3.0,2.3,5.0,2.0,1.0,4.3,5.0,5.0
deepseek,1.5,2.6,5.0,2.5,3.0,2.0,3.5,5.0
deepseek,1.75,3.1,4.0,2.5,1.0,4.5,5.0,4.0
deepseek,3.5,2.9,5.0,3.0,2.0,4.9,4.5,5.0
deepseek,2.5,4.7,4.5,1.5,4.0,2.9,4.5,4.0
deepseek,3.0,2.5,5.0,3.0,2.5,3.5,5.0,5.0
deepseek,3.5,3.1,5.0,2.5,1.0,2.0,5.0,5.0
deepseek,1.75,3.2,5.0,2.5,2.5,5.0,5.0,5.0
deepseek,1.75,3.5,4.5,2.5,1.0,3.5,5.0,5.0
deepseek,1.75,4.0,5.0,3.5,3.0,5.0,5.0,3.0
deepseek,3.5,3.9,5.0,3.5,2.5,3.5,5.0,4.0
deepseek,4.25,5.0,5.0,4.0,4.0,4.5,5.0,5.0
deepseek,2.25,4.4,4.0,2.5,2.0,4.5,4.5,5.0
deepseek,3.5,3.0,4.5,3.0,2.5,3.5,5.0,4.0
deepseek,4.75,3.3,5.0,4.0,3.5,5.0,4.0,5.0
deepseek,3.25,3.1,5.0,2.5,2.0,4.0,5.0,4.0
deepseek,3.75,3.0,4.0,2.5,3.0,4.5,5.0,5.0
deepseek,1.75,3.4,4.0,2.5,0.0,4.5,5.0,5.0
deepseek,2.0,3.8,5.0,2.5,1.5,3.5,4.5,5.0
deepseek,3.75,3.9,5.0,2.5,0.5,4.0,5.0,5.0
deepseek,3.75,3.6,5.0,2.5,2.5,4.3,4.0,5.0
deepseek,3.0,4.4,4.5,4.0,3.0,4.9,5.0,5.0
deepseek,2.75,3.8,5.0,4.0,3.0,3.3,4.0,5.0
deepseek,3.25,2.5,5.0,3.5,3.0,4.8,5.0,5.0
deepseek,3.0,2.7,5.0,5.0,3.0,4.0,5.0,5.0
deepseek,3.5,3.8,5.0,2.5,1.5,4.0,4.5,5.0
deepseek,3.0,4.1,5.0,2.5,3.0,3.4,5.0,5.0
deepseek,3.0,2.5,5.0,2.5,2.0,4.0,3.5,5.0
deepseek,2.75,3.7,5.0,2.5,2.5,3.4,5.0,5.0
deepseek,4.25,2.8,5.0,2.5,1.5,4.4,5.0,4.0
deepseek,3.0,5.0,5.0,2.5,3.5,4.9,4.0,5.0
deepseek,2.0,4.4,4.5,2.5,1.5,4.5,5.0,5.0
deepseek,2.25,4.7,5.0,2.0,0.0,4.9,5.0,5.0
deepseek,2.5,3.5,5.0,2.0,3.0,4.4,4.5,5.0
deepseek,3.0,3.6,5.0,2.5,0.5,2.0,5.0,5.0
deepseek,3.75,4.5,5.0,1.5,2.0,5.0,5.0,5.0
deepseek,3.0,3.8,4.0,3.0,2.0,4.4,5.0,5.0
deepseek,2.75,3.7,4.0,2.5,3.5,4.9,4.0,5.0
deepseek,2.75,4.1,5.0,2.5,1.0,4.3,5.0,5.0
deepseek,3.75,2.8,5.0,4.0,2.0,4.5,5.0,5.0
deepseek,1.5,4.1,5.0,3.0,0.5,3.5,5.0,5.0
deepseek,3.5,4.4,5.0,2.5,2.5,4.8,5.0,5.0
deepseek,3.25,2.1,5.0,2.0,2.0,5.0,5.0,5.0
deepseek,2.0,3.9,4.0,4.0,1.5,2.9,5.0,5.0
deepseek,2.0,3.2,5.0,2.5,3.0,5.0,5.0,3.0
deepseek,3.0,3.8,5.0,2.0,2.0,5.0,4.5,5.0
deepseek,2.25,3.8,5.0,2.5,4.0,3.5,5.0,5.0
deepseek,1.5,4.1,5.0,2.5,3.5,3.8,5.0,5.0
deepseek,2.5,2.1,5.0,2.5,1.5,3.5,5.0,5.0
deepseek,1.5,3.4,4.0,5.0,4.0,4.3,5.0,5.0
deepseek,1.5,2.9,4.0,2.5,3.0,5.0,5.0,5.0
deepseek,3.0,3.1,5.0,2.0,3.0,4.5,4.0,5.0
deepseek,3.5,3.1,4.5,4.5,2.0,1.4,5.0,5.0
deepseek,1.25,1.7,5.0,3.5,1.0,3.7,5.0,5.0
deepseek,2.5,4.1,5.0,4.0,3.0,3.4,4.5,5.0
deepseek,3.0,5.0,5.0,4.5,2.0,4.0,5.0,5.0
deepseek,3.5,0.9,5.0,2.5,1.5,3.5,4.0,5.0
deepseek,2.0,4.1,5.0,3.0,1.0,4.5,4.0,5.0
deepseek,3.75,3.8,3.5,2.5,3.0,3.5,4.5,5.0
deepseek,2.0,3.0,5.0,2.5,1.0,1.0,4.5,5.0
deepseek,1.75,2.4,5.0,2.5,2.0,1.0,5.0,5.0
deepseek,0.75,4.4,5.0,3.0,3.5,5.0,3.5,5.0
deepseek,3.5,3.5,5.0,2.5,0.0,4.0,5.0,5.0
deepseek,2.0,4.1,5.0,4.5,2.0,3.5,3.5,5.0
deepseek,1.5,2.8,5.0,4.0,1.5,2.5,5.0,5.0
deepseek,3.25,4.1,4.5,2.5,2.0,4.5,5.0,5.0
deepseek,3.0,4.0,5.0,2.0,1.0,4.5,5.0,4.0
deepseek,2.5,3.8,5.0,3.5,1.0,5.0,4.5,5.0
deepseek,2.75,4.7,5.0,4.5,3.5,4.5,4.5,3.0
deepseek,3.0,1.7,5.0,2.5,3.0,2.0,5.0,5.0
deepseek,3.0,4.4,5.0,4.5,2.0,5.0,5.0,5.0
deepseek,2.75,3.6,5.0,3.5,3.0,5.0,5.0,5.0
deepseek,2.0,4.0,5.0,3.5,4.5,5.0,5.0,4.0
deepseek,3.0,3.1,5.0,2.5,2.5,4.0,5.0,4.0
deepseek,3.5,3.6,4.0,4.5,1.0,3.5,3.0,5.0
deepseek,2.0,4.4,4.0,2.5,2.5,2.5,5.0,5.0
deepseek,3.25,3.5,4.0,3.5,2.5,4.5,5.0,5.0
deepseek,3.0,4.1,5.0,3.0,2.5,3.0,5.0,3.0
deepseek,2.0,3.6,5.0,3.0,2.0,4.5,5.0,5.0
deepseek,3.25,4.4,5.0,3.0,2.5,4.5,5.0,5.0
deepseek,2.75,2.5,5.0,3.0,2.0,4.0,4.0,5.0
deepseek,1.75,4.0,5.0,2.5,1.0,4.2,5.0,5.0
deepseek,2.5,3.8,5.0,0.0,2.0,3.5,5.0,3.0
deepseek,4.25,3.7,4.0,2.5,1.5,4.8,4.5,5.0
deepseek,0.25,4.4,5.0,2.0,2.5,4.9,5.0,5.0
deepseek,3.75,4.1,5.0,2.5,3.0,5.0,5.0,4.0
deepseek,3.0,3.8,5.0,3.0,1.5,3.4,4.5,5.0
deepseek,2.0,4.7,5.0,3.0,3.5,4.5,4.0,5.0
deepseek,2.25,3.7,4.0,2.5,1.0,3.5,5.0,5.0
deepseek,1.5,4.4,5.0,4.5,2.0,3.4,5.0,4.0
deepseek,1.75,3.5,4.5,2.0,3.0,4.7,5.0,5.0
deepseek,3.5,3.4,5.0,4.0,2.0,3.7,4.0,4.0
deepseek,2.25,4.4,4.5,3.0,2.0,4.4,4.5,3.0
deepseek,2.5,3.9,5.0,2.5,1.5,4.5,5.0,5.0
deepseek,3.0,3.0,5.0,2.5,1.0,4.4,5.0,5.0
deepseek,3.0,4.4,5.0,2.5,2.0,3.0,4.5,5.0
deepseek,2.0,3.1,5.0,2.5,3.5,4.2,4.0,4.0
deepseek,2.75,3.2,5.0,2.5,3.0,4.4,4.5,4.0
deepseek,3.5,3.7,5.0,2.5,2.0,1.4,4.5,5.0
deepseek,2.75,3.7,4.5,2.5,3.0,4.5,4.5,5.0
deepseek,2.5,3.1,5.0,2.0,3.0,4.5,3.5,4.0
deepseek,1.0,4.1,4.5,3.0,3.0,4.4,4.5,5.0
deepseek,3.0,4.7,5.0,3.0,2.5,4.0,5.0,4.0
deepseek,3.5,3.8,4.5,3.0,2.5,4.3,5.0,5.0
deepseek,2.5,4.4,5.0,2.5,1.0,2.9,5.0,3.0
deepseek,3.0,3.2,4.5,2.5,1.5,4.0,5.0,5.0
deepseek,2.5,3.2,4.0,2.5,2.0,3.5,4.0,5.0
deepseek,2.0,4.4,4.0,2.5,1.0,4.6,5.0,5.0
deepseek,2.25,3.9,4.5,3.5,3.0,2.9,4.5,5.0
deepseek,3.0,4.1,5.0,2.5,2.0,4.5,5.0,4.0
deepseek,1.5,3.3,4.5,2.5,1.0,3.5,5.0,4.0
deepseek,2.75,3.8,5.0,4.0,0.5,4.5,4.5,5.0
deepseek,2.75,3.0,4.5,2.5,3.0,4.4,5.0,5.0
deepseek,3.0,4.1,5.0,2.5,1.5,3.4,4.5,5.0
deepseek,2.0,3.4,4.0,2.5,1.0,4.5,5.0,5.0
deepseek,2.0,2.9,5.0,2.5,2.5,4.7,5.0,5.0
deepseek,4.25,4.1,4.5,2.5,1.5,3.5,4.5,5.0
deepseek,3.5,3.0,4.5,3.0,2.0,3.4,5.0,5.0
deepseek,2.25,3.5,5.0,3.5,1.5,5.0,5.0,5.0
deepseek,3.0,3.1,5.0,2.5,2.0,3.5,4.0,3.0
deepseek,2.0,3.1,5.0,2.5,2.5,4.5,4.0,5.0
deepseek,3.5,3.1,5.0,2.5,1.5,4.5,5.0,4.0
deepseek,3.75,3.5,4.5,3.0,2.0,4.5,3.0,4.0
deepseek,3.25,3.1,5.0,2.0,1.0,4.0,5.0,5.0
deepseek,1.0,3.0,4.0,3.0,1.0,3.3,4.0,5.0
deepseek,2.75,4.4,4.5,2.0,3.0,3.5,4.0,5.0
deepseek,1.5,4.1,5.0,3.0,3.0,3.9,5.0,5.0
deepseek,3.25,4.0,5.0,2.5,3.0,4.5,5.0,5.0
deepseek,3.75,3.2,5.0,2.5,2.0,4.0,5.0,5.0
deepseek,3.75,4.4,5.0,3.0,2.5,3.5,5.0,5.0
deepseek,4.25,3.0,4.5,3.5,3.5,4.3,5.0,5.0
deepseek,2.75,3.4,4.0,2.5,2.5,4.0,4.5,5.0
deepseek,2.25,2.7,4.0,3.5,0.0,5.0,5.0,3.0
deepseek,1.0,3.8,5.0,2.5,1.0,0.5,5.0,5.0
deepseek,2.25,3.2,5.0,3.5,2.0,3.5,5.0,5.0
deepseek,3.75,3.0,4.0,2.5,3.5,4.5,5.0,5.0
deepseek,1.5,2.8,5.0,3.5,4.0,3.2,4.0,5.0
deepseek,2.0,4.4,4.5,4.5,2.0,3.5,5.0,5.0
deepseek,3.0,4.7,5.0,3.5,2.5,4.6,5.0,4.0
deepseek,2.5,4.1,5.0,4.5,1.5,5.0,4.5,5.0
deepseek,3.5,3.5,5.0,3.5,2.5,4.9,4.0,5.0
deepseek,3.0,2.6,5.0,2.5,3.5,1.5,5.0,5.0
deepseek,2.0,4.2,4.5,2.5,2.0,5.0,4.0,5.0
deepseek,2.25,4.7,5.0,2.5,2.0,5.0,3.5,5.0
deepseek,3.5,5.0,4.0,2.5,1.5,5.0,5.0,5.0
deepseek,3.25,5.0,5.0,2.5,2.5,0.5,5.0,5.0
deepseek,3.25,3.0,5.0,2.5,2.0,1.5,4.5,5.0
deepseek,2.0,2.8,5.0,3.5,3.0,4.3,5.0,5.0
deepseek,2.0,3.1,5.0,3.5,2.5,4.0,5.0,5.0
deepseek,3.5,4.1,4.5,2.0,2.0,2.9,5.0,4.0
deepseek,2.0,3.4,4.5,3.5,2.5,4.5,5.0,4.0
deepseek,2.75,3.3,5.0,3.5,2.5,3.4,5.0,4.0
deepseek,1.5,4.1,5.0,5.0,2.5,4.5,5.0,5.0
deepseek,3.25,3.9,5.0,4.0,4.5,3.2,5.0,5.0
deepseek,2.0,1.8,5.0,2.0,1.0,4.5,5.0,5.0
deepseek,2.25,4.0,5.0,2.5,1.5,4.0,5.0,4.0
deepseek,2.0,3.7,5.0,4.0,2.5,3.4,5.0,5.0
deepseek,2.75,3.8,5.0,4.0,2.5,5.0,5.0,5.0
deepseek,2.0,2.8,5.0,2.0,0.0,1.4,4.5,5.0
deepseek,2.5,4.1,5.0,3.5,0.5,5.0,5.0,4.0
deepseek,1.5,4.0,5.0,2.5,2.0,3.5,5.0,5.0
deepseek,2.0,3.1,5.0,3.5,4.0,5.0,4.5,4.0
deepseek,2.25,4.1,4.5,3.5,2.0,4.3,5.0,5.0
deepseek,3.25,2.6,5.0,2.5,1.0,5.0,5.0,3.0
deepseek,3.75,4.4,5.0,4.5,2.0,4.4,5.0,4.0
deepseek,1.5,4.0,5.0,2.5,2.0,4.8,5.0,5.0
deepseek,2.5,4.1,5.0,2.5,2.0,4.9,5.0,4.0
deepseek,3.5,4.0,5.0,5.0,4.5,4.8,2.5,4.0
deepseek,2.75,3.4,4.0,4.5,3.0,1.4,5.0,5.0
deepseek,3.0,4.0,5.0,2.0,2.0,3.5,5.0,5.0
deepseek,3.5,4.4,5.0,0.5,0.0,5.0,4.5,5.0
deepseek,2.5,3.7,5.0,2.5,2.5,4.5,5.0,4.0
deepseek,3.0,3.0,5.0,4.5,1.5,4.5,5.0,5.0
deepseek,0.5,2.5,5.0,3.5,3.0,3.9,5.0,5.0
deepseek,2.75,3.7,5.0,3.5,2.5,3.5,5.0,4.0
deepseek,0.75,3.6,5.0,4.0,2.0,4.5,5.0,5.0
deepseek,3.25,4.0,5.0,4.0,2.5,4.5,5.0,3.0
deepseek,4.0,4.0,4.5,3.0,4.5,4.5,4.5,4.0
deepseek,4.0,3.6,4.0,2.0,2.0,5.0,5.0,5.0
deepseek,1.5,4.1,5.0,2.5,2.0,5.0,5.0,5.0
deepseek,2.5,3.0,5.0,2.5,1.0,4.5,5.0,5.0
deepseek,1.5,2.5,5.0,2.5,3.0,4.5,4.0,5.0
deepseek,3.0,3.5,5.0,3.0,3.0,4.5,4.0,5.0
deepseek,3.5,4.4,5.0,2.5,2.5,4.5,5.0,4.0
deepseek,1.5,5.0,5.0,2.5,2.0,4.5,5.0,5.0
deepseek,4.25,3.4,5.0,3.5,2.5,4.5,5.0,5.0
deepseek,3.0,3.7,4.5,2.0,3.0,4.2,4.5,5.0
deepseek,1.5,3.2,4.5,2.5,2.0,5.0,4.0,5.0
deepseek,2.25,3.0,5.0,2.0,1.5,3.0,5.0,5.0
deepseek,2.0,3.3,5.0,2.5,1.0,3.7,4.5,5.0
deepseek,2.5,3.7,4.5,2.5,1.0,4.3,4.5,4.0
deepseek,3.0,3.4,5.0,2.5,2.0,2.0,5.0,5.0
deepseek,4.25,4.1,5.0,2.5,2.5,4.3,5.0,4.0
deepseek,3.0,4.1,5.0,2.5,2.0,2.8,5.0,5.0
deepseek,2.75,2.2,5.0,4.0,3.0,3.5,5.0,5.0
deepseek,3.0,3.9,5.0,2.5,3.0,4.4,5.0,5.0
deepseek,3.75,3.9,4.0,2.5,3.0,4.8,4.0,5.0
deepseek,3.5,3.7,5.0,2.0,0.0,4.0,5.0,5.0
deepseek,2.25,3.0,4.5,2.5,1.0,4.9,4.5,5.0
deepseek,2.5,4.0,5.0,3.5,2.0,3.5,5.0,5.0
deepseek,3.0,3.1,4.0,4.5,2.0,4.0,5.0,4.0
deepseek,1.0,4.0,5.0,4.0,2.0,3.7,5.0,5.0
deepseek,0.75,4.1,5.0,3.0,1.0,2.9,4.5,4.0
deepseek,3.0,3.1,5.0,2.5,0.5,5.0,4.5,5.0
deepseek,4.0,3.9,5.0,4.0,3.5,5.0,5.0,4.0
deepseek,3.0,2.4,5.0,2.5,1.0,4.5,5.0,4.0
deepseek,3.0,4.1,5.0,2.5,2.0,5.0,5.0,5.0
deepseek,3.0,3.4,5.0,2.5,2.0,5.0,5.0,5.0
deepseek,3.5,3.1,5.0,2.5,2.0,3.5,5.0,4.0
deepseek,4.0,5.0,4.5,3.5,3.0,3.9,5.0,5.0
deepseek,3.25,2.5,5.0,2.5,2.5,4.5,4.5,5.0
deepseek,2.75,2.8,5.0,2.5,3.0,3.5,5.0,5.0
deepseek,3.5,0.4,5.0,4.0,1.0,4.0,5.0,5.0
deepseek,2.0,2.6,5.0,3.0,4.0,3.5,5.0,5.0
deepseek,2.75,2.7,5.0,2.5,0.5,3.0,5.0,5.0
deepseek,2.0,3.1,5.0,3.0,1.0,1.5,4.5,4.0
deepseek,3.0,2.5,5.0,4.5,1.0,4.5,5.0,5.0
deepseek,4.25,2.4,5.0,3.5,3.0,3.9,5.0,5.0
deepseek,1.75,4.7,5.0,2.5,2.5,0.9,4.0,5.0
deepseek,2.75,2.7,4.0,2.5,2.5,5.0,5.0,5.0
deepseek,3.0,4.1,4.5,2.5,2.0,3.5,5.0,4.0
deepseek,3.0,4.7,4.5,2.5,2.0,3.0,4.0,5.0
deepseek,2.0,3.7,5.0,2.5,2.0,3.0,5.0,5.0
deepseek,3.25,1.5,5.0,3.0,3.5,4.9,4.5,5.0
deepseek,2.0,3.6,5.0,2.5,2.0,4.8,5.0,3.0
deepseek,3.75,3.4,5.0,3.0,3.0,4.9,3.5,4.0
deepseek,2.25,3.7,5.0,3.5,2.0,3.5,4.0,5.0
deepseek,3.5,4.4,5.0,2.5,2.5,2.4,5.0,4.0
deepseek,2.0,3.7,5.0,4.0,2.0,3.5,5.0,5.0
deepseek,2.5,3.7,4.5,3.0,2.5,2.9,5.0,5.0
deepseek,2.75,2.2,5.0,3.0,3.0,4.0,5.0,5.0
deepseek,4.25,3.1,5.0,3.0,2.0,4.5,4.0,4.0
deepseek,2.5,3.9,5.0,2.5,1.5,3.9,5.0,5.0
deepseek,3.75,3.1,4.5,3.0,1.5,0.5,5.0,5.0
deepseek,2.5,4.0,4.0,0.5,0.5,4.0,4.0,5.0
deepseek,2.5,3.9,4.5,2.5,1.0,4.5,4.0,5.0
deepseek,2.75,3.5,4.5,3.0,1.0,4.0,5.0,3.0
deepseek,3.0,2.8,5.0,3.5,4.0,4.7,5.0,3.0
deepseek,3.25,4.4,5.0,3.0,3.5,2.0,2.5,5.0
deepseek,4.0,3.0,5.0,2.5,1.0,4.5,5.0,5.0
deepseek,3.0,4.1,4.0,3.5,2.0,4.5,4.0,5.0
deepseek,2.5,3.8,4.0,4.0,2.0,3.5,5.0,5.0
deepseek,2.25,3.8,4.0,2.5,1.0,2.0,5.0,5.0
deepseek,2.75,3.8,4.5,2.5,2.5,4.5,5.0,5.0
